Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,PromotionStagnation,RoleStagnation,IncomePerLevel,SatisfactionIndex,JobHopRate,Attrition
47,1225,2,4,2,0,47,4,2,15972,21086,6,0,14,3,3,3,29,2,3,3,2,1,2,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0.06666666666666667,3194.4,2.5,0.2,0
22,594,2,1,3,1,100,3,4,2523,19299,0,0,14,3,3,1,3,2,3,2,1,2,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.6666666666666666,0.25,1261.5,3.25,0.0,0
46,406,3,1,1,1,52,3,3,17465,15596,3,0,12,3,4,1,23,3,3,12,9,4,9,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.3076923076923077,0.375,3493.0,2.75,0.125,0
25,622,13,1,2,1,40,3,3,2096,26376,1,0,11,3,3,0,7,1,3,7,4,0,6,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.5,1048.0,2.75,0.125,0
43,1001,9,5,4,1,72,3,3,5679,19627,3,1,13,3,2,1,10,3,3,8,7,4,7,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.4444444444444444,0.6363636363636364,1893.0,3.0,0.2727272727272727,0
28,1157,2,4,1,1,84,1,4,3464,24737,5,1,13,3,4,0,5,4,2,3,2,2,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.5,0.3333333333333333,1732.0,2.75,0.8333333333333334,1
51,833,1,3,3,1,96,3,4,2723,23231,1,0,11,3,2,0,1,0,2,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,1361.5,2.75,0.5,0
43,1082,27,3,3,0,83,3,1,10820,11535,8,0,11,3,3,1,18,1,3,8,7,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.3684210526315789,2705.0,2.5,0.42105263157894735,0
40,118,14,2,4,0,84,3,1,4639,11262,1,0,15,3,3,1,5,2,3,5,4,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.16666666666666666,0.6666666666666666,1546.3333333333333,2.75,0.16666666666666666,0
27,205,10,3,4,0,98,2,4,5769,7100,1,1,11,3,4,0,6,3,3,6,2,4,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.5714285714285714,0.2857142857142857,1923.0,3.75,0.14285714285714285,0
